#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2024 01 01 00 20 317  1.3  2.4  1.56 13.47  7.95 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 01 01 20 279  2.4  3.7  1.48 12.80  7.72 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 01 02 20 289  2.4  3.4  1.51 12.19  7.94 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 01 03 20 314  2.3  3.3  1.57 12.19  7.99 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 01 04 20 322  2.1  3.4  1.34 13.47  7.96 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 01 05 20  65  1.8  2.8  1.35 12.80  8.38 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 01 06 20 106  1.7  3.7  1.43 11.13  8.39 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 01 07 20  97  3.5  5.1  1.35 10.24  8.46 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 01 08 20  98  4.0  5.2  1.39  9.85  8.45 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 01 09 20 103  4.6  6.4  1.33 11.64  8.54 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 01 10 20  97  3.5  5.0  1.41 11.64  8.50 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 01 11 20 109  2.7  4.4  1.47 11.64  8.68 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 01 12 20  92  3.3  4.9  1.30 10.67  8.94 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 01 13 20  86  3.0  5.3  1.32 11.13  8.51 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 01 14 20  89  3.9  5.5  1.21 12.80  8.63 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 01 15 20  90  4.0  5.6  1.24 11.64  8.53 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 01 16 20  95  2.9  5.0  1.21 11.64  8.33 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 01 17 20 110  2.3  4.5  1.21 12.19  8.82 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 01 18 20 113  1.2  2.6  1.06 10.67  8.81 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 01 19 20 331  1.4  2.8  1.04 11.64  8.95 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 01 20 20 287  1.5  2.5  1.02 12.80  8.99 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 01 21 20 274  2.8  4.5  1.07 11.13  8.98 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 01 22 20 310  3.1  4.0  0.98 10.67  9.23 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 01 23 20 318  4.1  5.4  0.92 11.64  8.93 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 02 00 20 336  3.0  4.6  0.88 10.67  8.81 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 02 01 20 334  3.0  3.9  0.96 10.67  8.76 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 02 02 20 351  2.9  4.1  0.90 11.13  8.48 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 02 03 20  38  1.6  2.7  0.88 11.13  8.50 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 02 04 20  54  0.1  0.9  0.84 11.13  8.53 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 02 05 20  93  0.8  2.3  0.82 11.13  8.41 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 02 06 20 108  1.8  2.9  0.84 12.80  8.61 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 02 07 20 108  2.0  3.7  0.86 11.64  8.66 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 02 08 20 120  1.9  3.0  0.93 12.80  8.79 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 02 09 20 109  2.7  4.6  1.04 12.19  9.13 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 02 10 20 107  4.4  6.0  1.05 12.80  9.18 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 02 11 20 103  5.3  6.8  1.29 12.19  9.06 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 02 12 20  99  5.9  7.6  1.17 12.80  9.64 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 02 13 20 100  5.8  8.1  1.05 12.19  9.10 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 02 14 20 104  5.4  7.2  1.00 12.19  9.04 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 02 15 20 105  5.4  7.1  0.99 12.19  8.87 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 02 16 20 108  4.9  7.0  0.98 12.19  9.03 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 02 17 20 103  4.6  6.3  1.03 11.64  8.61 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 02 18 20 125  1.3  3.4  1.02 11.13  8.82 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 02 19 20 273  1.6  2.4  1.06 11.64  8.60 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 02 20 20 245  2.8  3.9  0.98 11.13  8.41 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 02 21 20 244  2.4  3.3  1.07 11.64  8.80 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 02 22 20 281  2.3  3.1  1.09 11.13  8.49 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 02 23 20 290  1.7  3.0  1.09 10.67  8.75 999 9999.0 999.0 999.0 999.0 99.0 99.00
