,Matlab Date,Time Collected PT (hhmm),Temp (deg C),Chl Volume Filtered (mL),Chl1 (mg/m3),Chl2 (mg/m3),Avg Chloro (mg/m3),Phaeo1 (mg/m3),Phaeo2 (mg/m3),Avg Phaeo (mg/m3),Nitrate (uM),Phosphate (uM),Silicate (uM) ,Nitrite (uM),Ammonium (uM),'CellCountDetection_Limit','Total_Diatoms','Akashiwo_sanguinea',Total_Tripos',Total_Cochlodinium_spp','Lingulodinium_polyedra',Total_Prorocentrum_spp','Total_Dinoflagellates','Total_Phytoplankton',DATE,SURF_SAL_PSU,BOT_SAL_PSU,SURF_TEMP_C,BOT_TEMP_C,WSPD
0,733589.333333333,800,19.8,100.0,1.81,1.83,1.82,0.59,0.61,0.6,0.43,0.24,5.6,0.03,0.53,89.0,69952.0,0.0,,0.0,89.0,5168.0,15684.0,85636.0,2008-06-30,33.77,33.62,20.3,15.9,4.691666666666666
1,733591.326388889,750,19.7,100.0,2.04,2.12,2.08,0.53,0.52,0.53,,,,,,,,,,,,,,,2008-07-02,33.74,33.6,19.9,16.5,3.954166666666666
2,733596.333333333,800,17.3,100.0,2.68,2.73,2.71,1.24,1.12,1.18,0.83,0.37,5.1,0.04,1.06,89.0,167529.0,89.0,,0.0,89.0,1158.0,5703.0,173233.0,2008-07-07,33.66,33.62,17.8,16.9,2.7875
3,733599.361111111,840,19.5,100.0,1.3,1.34,1.32,0.51,0.53,0.52,,,,,,,,,,,,,,,2008-07-10,33.44,33.53,19.8,19.6,2.825
4,733603.329166667,755,21.7,100.0,0.99,1.0,0.99,0.55,0.54,0.55,0.45,0.24,3.5,0.0,0.35,89.0,67101.0,89.0,,267.0,267.0,1069.0,10515.0,77616.0,2008-07-14,33.74,33.58,22.2,18.3,3.4125
5,733606.363888889,845,21.3,100.0,1.39,1.37,1.38,0.56,0.59,0.58,0.71,0.18,3.3,0.18,0.88,,,,,,,,,,2008-07-17,33.7,33.51,21.8,16.0,2.6
6,733610.326388889,750,20.2,100.0,1.21,1.24,1.23,0.49,0.48,0.48,0.34,0.17,4.2,0.0,0.55,89.0,24149.0,0.0,,0.0,0.0,623.0,4456.0,28605.0,2008-07-21,33.68,33.62,19.8,19.4,3.4958333333333336
7,733613.361111111,840,20.1,100.0,1.93,1.88,1.91,0.62,0.59,0.61,,,,,,,,,,,,,,,2008-07-24,33.75,33.67,22.1,21.2,2.779166666666667
8,733617.405555556,945,22.4,100.0,2.37,2.44,2.41,0.41,0.36,0.39,0.29,0.12,3.8,0.0,0.62,89.0,27357.0,0.0,,0.0,0.0,1069.0,4990.0,32347.0,2008-07-28,33.73,33.69,22.5,22.5,2.6041666666666665
9,733620.375,900,21.1,100.0,1.29,1.29,1.29,0.45,0.48,0.47,,,,,,,,,,,,,,,2008-07-31,33.72,33.57,21.5,18.0,2.583333333333333
10,733624.350694445,825,23.0,100.0,1.95,1.85,1.9,0.41,0.35,0.38,0.34,0.15,3.6,0.0,0.46,89.0,16040.0,0.0,,0.0,0.0,534.0,7485.0,23525.0,2008-08-04,33.68,33.65,23.1,22.9,1.9916666666666665
11,733627.385416667,915,23.9,100.0,1.52,1.43,1.48,0.22,0.23,0.23,,,,,,,,,,,,,,,2008-08-07,33.69,33.54,23.8,20.8,3.775
