time (UTC),Avg_Chloro,Nitrate,Phosphate,Silicate,Nitrite,SURF_TEMP_C,BOT_TEMP_C,SURF_SAL_PSU,BOT_SAL_PSU,SURF_DENS_kgm3,BOT_DENS_kgm3,AVG_TEMP_C,AVG_SAL_PSU,AVG_DENS_kgm3
,1.82,0.43,0.24,5.6,0.03,20.3,15.9,33.77,33.62,1023.6380936312238,1024.6206546600047,18.1,33.695,1024.1293741456143
,2.71,0.83,0.37,5.1,0.04,17.8,16.9,33.66,33.62,1024.1863790557982,1024.3917188625228,17.35,33.64,1024.2890489591605
,0.99,0.45,0.24,3.5,0.0,22.2,18.3,33.74,33.58,1023.1005571235871,1024.0260395736384,20.25,33.66,1023.5632983486128
,1.23,0.34,0.17,4.2,0.0,19.8,19.4,33.68,33.62,1023.7010878034623,1023.780535455282,9.9,33.65,1023.7408116293722
,2.41,0.29,0.12,3.8,0.0,22.5,22.5,33.73,33.69,1023.0090669509416,1023.0007246978224,11.25,33.709999999999994,1023.004895824382
,1.9,0.34,0.15,3.6,0.0,23.1,22.9,33.68,33.65,1022.8016194807474,1022.8577787180267,11.55,33.665,1022.829699099387
,1.8,0.32,0.27,2.6,0.0,20.2,16.6,33.55,33.41,1023.4994134505735,1024.302249495375,18.4,33.48,1023.9008314729742
,1.82,0.0,0.19,2.6,0.0,22.4,18.5,33.57,33.39,1022.9179134050322,1023.8335730586106,20.45,33.480000000000004,1023.3757432318214
,1.72,0.19,0.27,3.4,0.01,21.3,20.0,33.55,33.48,1023.206225858089,1023.5207698044492,10.65,33.515,1023.3634978312691
,1.35,0.26,0.21,3.2,0.0,22.1,19.0,33.51,33.4,1022.9568527780302,1023.7164755400553,11.05,33.455,1023.3366641590428
,1.66,0.22,0.2,3.7,0.12,22.3,20.0,33.5,33.4,1022.8937094586296,1023.4607563662182,11.15,33.45,1023.177232912424
,3.88,0.33,0.19,3.1,0.0,19.7,19.6,33.49,33.46,1023.5842613501441,1023.6091312444423,9.85,33.475,1023.5966962972932
,2.14,0.17,0.21,3.4,0.0,19.3,19.2,33.43,33.42,1023.6414942595641,1023.6810548694257,9.65,33.425,1023.6612745644949
,2.48,0.23,0.28,2.9,0.0,18.5,19.45,33.41,33.445,1023.8268598459929,1023.6359903464759,9.75,33.46,1023.6300654424866
,1.31,0.33,0.23,2.7,0.0,19.7,19.7,33.52,33.47,1023.6067868174306,1023.5909258235262,9.85,33.495000000000005,1023.5988563204784
