pid,Acantharia,Akashiwo,Alexandrium_catenella,Amoeba,Amoeba_TAG_nano,Amphidinium,Asterionellopsis_glacialis,Asteromphalus,Bacillariophyceae,Bacteria_colony,Bacteriastrum,Bacteriastrum_TAG_interaction,Calciopappus,Calciosolenia_brasiliensis,Cerataulina_pelagica,Chaetoceros,Chaetoceros_TAG_interaction,Chaetoceros_didymus,Chaetoceros_socialis,Chattonella,Chrysochromulina,Chrysochromulina_lanceolata,Ciliophora,Corethron_hystrix,Corymbellus,Coscinodiscus,Cryptophyta,Cylindrotheca,Cylindrotheca_morphotype1,Dactyliosolen_blavyanus,Dictyocha,Dinobryon,Dinophyceae,Dinophyceae_TAG_cyst,Dinophysis,Dinophysis_tripos,Ditylum_brightwellii,Emiliania_huxleyi,Ephemera,Eucampia,Euglena,Euplotes,Euplotes_morphotype1,Eutintinnus,Favella,Fragilidinium,Gonyaulax,Guinardia_flaccida,Guinardia_striata,Gymnodinium,Gyrodinium,Hemiaulus,Hemiaulus_membranaceus,Heterocapsa_rotundata,Karenia,Katodinium_or_Torodinium,Laboea_strobila,Lauderia_annulata,Leptocylindrus,Leptocylindrus_mediterraneus,Licmophora,Lingulodinium_polyedra,Lingulodinium_polyedra_TAG_cyst,Margalefidinium,Mesodinium,Nanoneis,Nauplii,Navicula,Ophiaster,Oxytoxum,Phaeocystis,Pleuronema,Pleurosigma,Polykrikos,Prorocentrum,Prorocentrum_gracile,Prorocentrum_micans,Prorocentrum_rostratum,Prorocentrum_scutellum,Protoperidinium,Pseudo-nitzschia,Pseudochattonella_farcimen,Pyramimonas,Pyramimonas_longicauda,Rhabdolithes,Rhizosolenia,Scrippsiella,Skeletonema,Strobilidium_morphotype1,Strombidium_capitatum,Strombidium_conicum,Strombidium_inclinatum,Strombidium_morphotype1,Strombidium_morphotype2,Strombidium_tintinnodes,Syracosphaera_pulchra,Thalassionema,Thalassiosira,Thalassiosira_sp_aff_mala,Tiarina_fusus,Tintinnidium_mucicola,Tintinnina,Tintinnopsis,Tontonia_appendiculariformis,Tripos,Tripos_balechii,Tripos_furca,Tripos_fusus,Tripos_lineatus,Vicicitus_globosus,Warnowia,bad,bead,bubble,coccolithophorid,colony,crescent,detritus,detritus_theca_fragment,detritus_transparent,fecal_pellet,fiber,flagellate,nanoplankton_mix,pennate,pennate_Pseudo-nitzschia,pennate_Thalassionema,pennate_morphotype1,pollen,pollen_TAG_nano,zooplankton
D20250227T195131_IFCB183_00002,0.0,0.0,0.0,6e-08,0.0,1e-07,1.1e-06,0.0,1.705e-05,0.0,6e-08,0.0,0.0,0.0,6.6e-07,3e-06,0.0,6e-08,0.0,6e-08,6e-08,6e-08,5.9e-06,0.0,6.6e-07,0.0,0.0005383,3e-07,3.6e-07,0.0,2.4e-07,0.0,3.7e-06,6e-07,2e-07,0.0,0.0,0.0,0.0,0.0,3e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-08,2.4e-06,0.0,0.0,0.0,7.516e-05,0.0,1e-07,0.0,0.0,0.0,0.0,6e-08,0.0,6e-08,0.0,1.43e-06,6e-08,0.0,0.0,2.4e-07,0.0,8.3e-07,6e-08,0.0,0.0,0.0,1.8e-06,0.0,0.0,0.0,0.0,0.0,1.4e-06,0.01616,3.6e-07,6e-08,0.0,5.4e-07,1.12e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003996,2.67e-05,0.0,0.0,0.0,0.0,0.0,6e-08,0.0,0.0,6e-08,0.0,0.0,0.0,9e-07,0.002522,1.08e-05,7e-07,2e-07,0.0,0.001116,6e-08,7.474e-05,0.0,8e-07,0.01984,0.959,8.8e-06,3e-07,0.0,2e-07,6e-08,0.0,0.0
D20250227T195131_IFCB183_00003,0.0,6e-08,0.0,0.0,0.0,6.14e-06,2.26e-06,0.0,7.33e-06,0.0,0.0,0.0,0.0,0.0,2e-07,2.15e-06,0.0,8e-07,0.0,0.0,5e-07,1.25e-05,1.454e-05,0.0,2.44e-06,0.0,0.0001085,1e-07,0.0,6e-08,0.0,0.0,1.013e-05,1e-07,1e-07,0.0,0.0,0.0,0.0,0.0,5e-07,0.0,0.0,0.0,6e-08,0.0,0.0,0.0,0.0,3.2e-06,0.0,6e-08,0.0,1.09e-05,0.0,5.8e-06,0.0,0.0,0.0,0.0,1.1e-06,0.0,0.0,0.0,1e-07,6e-08,0.0,6e-08,0.0,1.55e-06,6e-08,0.0,0.0,0.0,0.0,1.2e-06,0.0,6.6e-06,0.0,0.0,0.0,0.0,0.9863,0.001159,0.0,0.0,2.4e-07,2e-07,0.0,0.0,0.0,0.0,0.0,0.0,1e-07,0.0,1e-07,2.69e-05,1.25e-06,0.0,0.0,0.0,0.0,0.0,2e-07,6e-08,0.0,2e-07,0.0,0.0,6e-08,2e-07,0.0,0.0,2e-07,6e-08,0.0,0.0004585,6e-08,2.42e-05,0.0,0.0,0.00889,0.002815,1.186e-05,6e-08,0.0,1e-07,0.0,0.0,0.0
D20250227T195131_IFCB183_00004,0.0,0.0,0.0,0.0,0.0,6e-08,0.0,0.0,7.33e-06,0.0,0.0,0.0,0.0,0.0,6e-08,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,8e-07,0.0,0.0,0.0,3.04e-06,0.0,0.0,0.0,0.0,0.0,2.4e-07,6e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-08,0.0,0.0,0.0,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-08,0.0,0.0,0.0,0.0,0.0,0.0,7.57e-06,0.0,0.0,0.0,0.0,2e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001513,4e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64e-05,8.4e-06,0.0,0.0,0.0,1.25e-05,0.0,3.4e-06,0.0,6e-08,0.00445,0.995,2e-07,0.0,0.0,0.0,0.0,0.0,0.0
D20250227T195131_IFCB183_00005,0.0,0.0,0.0,2.4e-07,0.0,5e-07,9.54e-06,0.0,1.87e-05,0.0,1e-07,0.0,3.6e-07,0.0,1.4e-06,3.2e-06,0.0,3.6e-07,0.0,6e-08,6e-07,5e-07,2.41e-05,0.0,8.3e-07,0.0,0.003082,2.4e-07,3e-07,6e-08,1e-07,0.0,3.564e-05,1.3e-06,1e-07,0.0,0.0,0.0,0.0,0.0,8.3e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-08,8.94e-06,0.0,0.0,0.0,0.0006413,0.0,1.13e-06,6e-08,0.0,0.0,0.0,4e-07,0.0,6e-08,0.0,9e-07,2e-07,0.0,0.0,7e-07,8.3e-07,8.3e-07,6e-08,0.0,0.0,0.0,2.7e-06,0.0,1e-07,0.0,0.0,0.0,6e-07,0.397,3.04e-06,1e-07,0.0,7e-07,1.37e-05,0.0,0.0,0.0,0.0,0.0,0.0,6e-08,0.0,6e-08,0.0001101,2.37e-05,0.0,0.0,0.0,0.0,0.0,1e-07,6e-08,6e-08,3e-07,0.0,0.0,0.0,1.5e-06,5.41e-05,1.9e-06,1.1e-06,6e-08,0.0,0.003016,8e-07,0.001143,0.0,2.4e-07,0.0902,0.5044,3.64e-06,1e-07,0.0,1e-07,0.0,0.0,6e-08
D20250227T195131_IFCB183_00006,0.0,0.0,0.0,3.6e-07,0.0,5.8e-06,3e-07,0.0,6.425e-05,0.0,3.6e-07,0.0,0.0,0.0,4.2e-06,1.2e-05,0.0,2.4e-07,0.0,2e-07,6e-07,2e-07,4.5e-05,0.0,1e-07,0.0,0.0002618,3e-07,1e-07,6e-08,6e-08,0.0,8.45e-05,2.1e-06,6e-08,0.0,0.0,0.0,6e-08,0.0,2e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-07,5.025e-05,6e-08,6e-08,0.0,0.0001725,0.0,9.5e-07,0.0,6e-08,0.0,0.0,4e-07,0.0,0.0,0.0,9e-07,6e-08,0.0,0.0,0.0,6e-08,2.4e-07,6e-08,0.0,0.0,6e-08,1.13e-06,0.0,0.0,0.0,0.0,0.0,3.6e-07,0.001399,1.43e-06,0.0,0.0,1.8e-06,3.9e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00211,2.95e-05,0.0,0.0,0.0,0.0,0.0,2e-07,0.0,0.0,3.6e-07,0.0,0.0,6e-08,4e-07,9.2e-06,2.34e-05,7.75e-06,6e-08,0.0,0.0002935,6e-08,0.0001739,0.0,2.4e-07,0.04596,0.949,1.6e-06,2e-07,0.0,2.4e-07,0.0,0.0,6e-08
D20250227T195131_IFCB183_00007,1e-07,5.4e-07,6e-07,1.06e-05,6e-08,5.25e-06,3.546e-05,6e-08,0.001241,2.6e-06,2.62e-05,2e-07,2.18e-05,1e-07,0.0001074,0.0002806,2.4e-07,0.0001237,9.3e-06,2.4e-07,1.633e-05,1.085e-05,7.71e-05,1e-07,2.486e-05,9.5e-07,0.002449,1.407e-05,1.824e-05,8.46e-06,7.8e-06,1.7e-06,0.002674,4.125e-05,4e-07,0.0,5e-07,6e-07,6e-08,1e-07,6.74e-06,0.0,0.0,6e-08,3.6e-07,8e-07,6e-08,3.6e-07,1.08e-05,0.000361,2e-07,8e-07,5.4e-07,0.09015,2e-07,2e-05,3.2e-06,2.4e-07,3.2e-06,2e-07,8.3e-07,4.3e-06,3.46e-06,2e-07,4.24e-05,1.276e-05,1e-07,0.0,8.46e-06,2.29e-05,4.05e-05,2.5e-06,0.0,2e-07,2e-07,3.04e-06,0.0,5e-07,0.0,6.6e-07,5.4e-07,1.52e-05,0.0438,2.414e-05,1.997e-05,9.5e-07,3.27e-05,0.0003817,6e-08,3.6e-07,0.0,0.0,2.4e-07,6e-08,2e-07,4e-07,1.55e-06,0.001159,0.002104,0.0,0.0,3e-07,1.1e-06,6e-08,2.6e-06,1.55e-06,8.3e-07,1.18e-05,0.0,0.0,1e-06,8.37e-05,0.000856,5.907e-05,0.0002004,7.6e-06,8.3e-07,0.01625,4.21e-05,0.01607,1e-07,2.736e-05,0.0767,0.744,2.33e-05,1.436e-05,7e-07,7e-07,1.85e-06,6e-08,4.77e-06
D20250227T195131_IFCB183_00008,0.0,0.0,0.0,0.0,0.0,0.0,6e-08,0.0,6.2e-06,0.0,1e-07,0.0,0.0,0.0,6e-08,3.3e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.25e-06,0.0,0.0,0.0,3e-06,1e-07,1e-07,0.0,1e-07,0.0,2.4e-07,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4e-07,0.0,0.0,0.0,5.4e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-08,0.0,0.0,0.0,0.0,0.0,0.0,4e-07,0.0,0.0,0.0,0.0,0.0,6e-08,1.72e-05,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3e-06,7e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-08,0.002903,6.56e-06,0.0,2e-07,0.0,0.000502,0.0,8.08e-05,0.0,7e-07,0.003994,0.9927,3.34e-06,2.4e-07,0.0,6e-08,0.0,0.0,0.0
D20250227T195131_IFCB183_00009,0.0,0.0,0.0,0.0,0.0,6e-08,1e-07,0.0,9.9e-06,0.0,2e-07,0.0,0.0,0.0,3e-07,5.4e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.86e-06,0.0,1e-07,0.0,1.17e-05,3.6e-07,1e-07,0.0,2.4e-07,0.0,6.6e-07,2.4e-07,6e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.0,0.0,5.7e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-07,0.0,0.0,0.0,1e-07,0.0,6e-08,0.0,0.0,0.0,0.0,8e-07,0.0,0.0,0.0,0.0,0.0,2.4e-07,0.0001438,6e-08,0.0,0.0,6e-08,2.86e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.786e-05,5.96e-06,0.0,0.0,0.0,0.0,0.0,6e-08,0.0,0.0,6e-08,0.0,0.0,0.0,2e-07,0.002125,1.794e-05,6e-08,6e-07,0.0,0.0006585,6e-08,0.0001118,0.0,6.6e-07,0.01039,0.9863,6.85e-06,2.4e-07,0.0,2e-07,0.0,0.0,0.0
D20250227T195131_IFCB183_00010,0.0,0.0,0.0,0.0,0.0,3e-07,1e-07,0.0,4.035e-05,0.0,2.4e-07,0.0,0.0,0.0,6e-07,1.75e-05,0.0,1e-07,0.0,6e-08,3.6e-07,6e-08,8.7e-06,0.0,6e-08,0.0,3.22e-05,5e-07,2.4e-07,0.0,1e-07,0.0,5.36e-06,6e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6e-08,5.07e-06,0.0,0.0,0.0,6e-06,0.0,1e-07,0.0,0.0,0.0,0.0,6e-08,0.0,0.0,0.0,6e-08,0.0,0.0,0.0,6e-08,0.0,6e-08,0.0,0.0,0.0,0.0,1.67e-06,0.0,6e-08,0.0,0.0,0.0,1e-07,0.0001018,2e-07,0.0,0.0,6e-08,1.55e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001237,4.6e-06,0.0,0.0,0.0,0.0,0.0,2e-07,0.0,0.0,2.4e-07,0.0,0.0,0.0,4e-07,7.254e-05,3.254e-05,2e-07,2e-07,0.0,0.000335,6e-08,0.0002823,0.0,1.43e-06,0.014626,0.9844,5.1e-06,3e-07,0.0,3e-07,0.0,0.0,6e-08
D20250227T195131_IFCB183_00011,6e-08,6e-08,0.0,6e-07,0.0,5.9e-06,3.07e-05,0.0,0.0003417,2e-07,6e-07,0.0,1.3e-06,6e-08,6.3e-06,4.214e-05,6e-08,5.4e-07,1e-07,3.64e-06,5.26e-05,8.05e-06,0.0001594,0.0,2.6e-06,6e-08,0.04837,4.27e-05,5.025e-05,2e-07,1.03e-05,1.43e-06,0.000705,2.04e-05,5.5e-06,0.0,1e-07,6e-08,5e-07,0.0,0.00010616,0.0,0.0,0.0,6e-08,1e-07,6e-08,0.0,7e-07,3.03e-05,5.4e-07,1.25e-06,3e-07,0.0001225,3e-07,7.313e-05,9.5e-07,0.0,1e-06,0.0,4e-06,3.6e-07,2.4e-07,0.0,8.46e-06,2.9e-06,6e-08,9.5e-07,4.9e-06,1e-05,8e-07,6.6e-07,1e-07,0.0,2.5e-06,0.0003662,3e-07,1.806e-05,0.0,6e-08,2.4e-07,5.33e-05,0.003326,3.46e-06,5e-07,1e-07,5.36e-06,9.5e-06,0.0,0.0,0.0,0.0,6e-08,6e-08,3e-07,1e-07,1.1e-06,0.0001248,1.645e-05,0.0,0.0,3.6e-07,0.0,6e-08,1.5e-06,2.4e-07,1.2e-06,5.25e-06,6e-08,0.0,1e-07,1.174e-05,0.0003402,1.67e-05,2.74e-06,2e-06,1.3e-06,0.006664,2.7e-06,0.001194,1e-07,0.0001287,0.4688,0.468,0.000654,3.59e-05,6e-08,1.78e-05,2e-07,6e-08,3.6e-07
