"serial_day","chlA_.1wk","chlA","nitrate","phosphate","silicate","nitrite","nitrate_phosphate_ratio","N_star","Si_star","AvgTemp_1wk","AvgDens_1wk","SST","WIND_SPD","U_WIND","PRCP_2wkavg","AWND_2wkavg","chlA_1wk","nitrate_1wk","phosphate_1wk","silicate_1wk","nitrite_1wk","nitrate_phosphate_ratio_1wk","N_star_1wk","Si_star_1wk","AvgTemp_1wk_1wk","AvgDens_1wk_1wk","SST_1wk","WIND_SPD_1wk","U_WIND_1wk","PRCP_2wkavg_1wk","AWND_2wkavg_1wk","chlA_2wk","nitrate_2wk","phosphate_2wk","silicate_2wk","nitrite_2wk","nitrate_phosphate_ratio_2wk","N_star_2wk","Si_star_2wk","AvgTemp_1wk_2wk","AvgDens_1wk_2wk","SST_2wk","WIND_SPD_2wk","U_WIND_2wk","PRCP_2wkavg_2wk","AWND_2wkavg_2wk"
725662,0.92,0.43,2.52,0.295,2.355,0.02,8.5423729,-2.2,2.06,19.125,1023.8997,19.118428,3.2195745,0.39825,25.214286,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
725669,0.615,0.92,2.11,0.305,2.605,0.115,6.9180328,-2.77,2.3,18.564286,1024.0495,19.229762,3.243543,0.70110735,0,30.428571,0.43,2.52,0.295,2.355,0.02,8.5423729,-2.2,2.06,19.125,1023.8997,19.118428,3.2195745,0.39825,25.214286,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
725676,0.655,0.615,1.915,0.37,0.45,0.02,5.1756757,-4.005,0.08,17.721429,1024.2147,19.08367,2.6792702,0.65218595,0,29.357143,0.92,2.11,0.305,2.605,0.115,6.9180328,-2.77,2.3,18.564286,1024.0495,19.229762,3.243543,0.70110735,0,30.428571,0.43,2.52,0.295,2.355,0.02,8.5423729,-2.2,2.06,19.125,1023.8997,19.118428,3.2195745,0.39825,25.214286,29
725683,0.41,0.655,0.155,0.33,1.5,0.02,0.46969697,-5.125,1.17,18.135714,1024.1421,18.651255,2.7549689,0.73561784,0,28.214286,0.615,1.915,0.37,0.45,0.02,5.1756757,-4.005,0.08,17.721429,1024.2147,19.08367,2.6792702,0.65218595,0,29.357143,0.92,2.11,0.305,2.605,0.115,6.9180328,-2.77,2.3,18.564286,1024.0495,19.229762,3.243543,0.70110735,0,30.428571
725690,0.325,0.41,0.2,0.32,2,0.03,0.625,-4.92,1.68,17.65,1024.26,18.196674,2.9344979,0.58342833,0,27.214286,0.655,0.155,0.33,1.5,0.02,0.46969697,-5.125,1.17,18.135714,1024.1421,18.651255,2.7549689,0.73561784,0,28.214286,0.615,1.915,0.37,0.45,0.02,5.1756757,-4.005,0.08,17.721429,1024.2147,19.08367,2.6792702,0.65218595,0,29.357143
725697,NA,0.325,0.3,0.345,1.85,0.02,0.86956522,-5.22,1.505,17.607143,1024.2173,18.154788,2.7417702,0.10150148,21,26,0.41,0.2,0.32,2,0.03,0.625,-4.92,1.68,17.65,1024.26,18.196674,2.9344979,0.58342833,0,27.214286,0.655,0.155,0.33,1.5,0.02,0.46969697,-5.125,1.17,18.135714,1024.1421,18.651255,2.7549689,0.73561784,0,28.214286
725666,1.295,0.765,2.01,0.275,2.375,0.09,7.3090909,-2.39,2.1,18.75,1024.0112,19.303869,3.1018763,0.49143378,25.214286,30.285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
725673,0.615,1.295,1.1,0.31,0.43,0.01,3.5483871,-3.86,0.12,17.985714,1024.1659,19.145238,2.8699922,0.76607334,0,28,0.765,2.01,0.275,2.375,0.09,7.3090909,-2.39,2.1,18.75,1024.0112,19.303869,3.1018763,0.49143378,25.214286,30.285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
725680,0.595,0.615,0.22,0.325,1.425,0.04,0.67692308,-4.98,1.1,18.014286,1024.1603,18.848874,2.9630047,0.90260635,0,28.357143,1.295,1.1,0.31,0.43,0.01,3.5483871,-3.86,0.12,17.985714,1024.1659,19.145238,2.8699922,0.76607334,0,28,0.765,2.01,0.275,2.375,0.09,7.3090909,-2.39,2.1,18.75,1024.0112,19.303869,3.1018763,0.49143378,25.214286,30.285714
725686,0.33,0.595,0.2,0.325,2.1,0.035,0.61538462,-5,1.775,18.171429,1024.1388,18.43816,2.7207428,0.72673667,0,29.214286,0.615,0.22,0.325,1.425,0.04,0.67692308,-4.98,1.1,18.014286,1024.1603,18.848874,2.9630047,0.90260635,0,28.357143,1.295,1.1,0.31,0.43,0.01,3.5483871,-3.86,0.12,17.985714,1024.1659,19.145238,2.8699922,0.76607334,0,28
