Location_Code,latitude (degrees_north),longitude (degrees_east),depth (m),SampleID,time (UTC),Temp (degree_C),Air_Temp (degree_C),Salinity,Chl_Volume_Filtered (mL),Chl1 (mg/m3),Chl2 (mg/m3),Avg_Chloro (mg/m3),Phaeo1 (mg/m3),Phaeo2 (mg/m3),Avg_Phaeo (mg/m3),Phosphate (uM),Silicate (uM),Nitrite (uM),Nitrite_Nitrate (uM),Ammonium (uM),Nitrate (uM),DA_Volume_Filtered (mL),pDA (ng/mL),tDA (ng/mL),dDA (ng/mL),Volume_Settled_for_Counting (mL),Akashiwo_sanguinea (cells/L),Alexandrium_spp (cells/L),Dinophysis_spp (cells/L),Lingulodinium_polyedra (cells/L),Prorocentrum_spp (cells/L),Pseudo_nitzschia_delicatissima_group (cells/L),Pseudo_nitzschia_seriata_group (cells/L),Ceratium_spp (cells/L),Cochlodinium_spp (cells/L),Gymnodinium_spp (cells/L),Other_Diatoms (cells/L),Other_Dinoflagellates (cells/L),Total_Phytoplankton (cells/L)
SIO,32.867,-117.257,NaN,20080630,2008-06-30T15:00:00Z,19.8,NaN,NaN,100.0,1.81,1.83,1.82,0.59,0.61,0.6,0.24,5.6,0.03,NaN,0.53,0.43,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20080707,2008-07-07T15:00:00Z,17.3,NaN,NaN,100.0,2.68,2.73,2.71,1.24,1.12,1.18,0.37,5.1,0.04,NaN,1.06,0.83,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20080714,2008-07-14T14:54:00Z,21.7,NaN,NaN,100.0,0.99,1.0,0.99,0.55,0.54,0.55,0.24,3.5,0.0,NaN,0.35,0.45,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20080721,2008-07-21T14:50:00Z,20.2,NaN,NaN,100.0,1.21,1.24,1.23,0.49,0.48,0.48,0.17,4.2,0.0,NaN,0.55,0.34,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20080728,2008-07-28T16:44:00Z,22.4,NaN,NaN,100.0,2.37,2.44,2.41,0.41,0.36,0.39,0.12,3.8,0.0,NaN,0.62,0.29,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20080804,2008-08-04T15:25:00Z,23.0,NaN,NaN,100.0,1.95,1.85,1.9,0.41,0.35,0.38,0.15,3.6,0.0,NaN,0.46,0.34,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20080811,2008-08-11T16:00:00Z,22.0,NaN,NaN,100.0,1.91,1.69,1.8,0.66,0.6,0.63,0.27,2.6,0.0,NaN,0.8,0.32,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20080818,2008-08-18T15:05:00Z,24.4,NaN,NaN,100.0,1.86,1.78,1.82,0.43,0.44,0.43,0.19,2.6,0.0,NaN,0.0,0.0,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20080825,2008-08-25T15:05:00Z,19.7,NaN,NaN,100.0,1.73,1.72,1.72,0.44,0.49,0.47,0.27,3.4,0.01,NaN,1.09,0.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20080902,2008-09-02T16:44:00Z,21.8,NaN,NaN,100.0,1.37,1.33,1.35,0.2,0.22,0.21,0.21,3.2,0.0,NaN,1.01,0.26,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20080908,2008-09-08T14:45:00Z,21.6,NaN,NaN,100.0,1.64,1.68,1.66,0.28,0.31,0.3,0.2,3.7,0.12,NaN,0.97,0.22,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20080915,2008-09-15T14:50:00Z,19.2,NaN,NaN,100.0,3.95,3.8,3.88,0.46,0.56,0.51,0.19,3.1,0.0,NaN,0.46,0.33,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20080922,2008-09-22T14:45:00Z,19.0,NaN,NaN,100.0,2.14,2.15,2.14,0.38,0.35,0.37,0.21,3.4,0.0,NaN,0.78,0.17,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20080929,2008-09-29T15:44:00Z,18.1,NaN,NaN,100.0,2.48,2.48,2.48,0.7,0.71,0.7,0.28,2.9,0.0,NaN,0.77,0.23,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20081006,2008-10-06T15:15:00Z,19.2,NaN,NaN,100.0,1.34,1.29,1.31,0.55,0.56,0.55,0.23,2.7,0.0,NaN,1.48,0.33,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SIO,32.867,-117.257,NaN,20081013,2008-10-13T16:09:00Z,18.1,NaN,NaN,100.0,2.37,2.37,2.37,0.52,0.53,0.52,0.41,6.0,0.06,NaN,1.4,0.51,200.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
